"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","origin","mass.above"
"A",1,11,1998,0,"Intact",8,27.2,"2. NPK+",1,17,NA,13.667
"A",1,11,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"INTRODUCED",205.77
"A",1,11,1999,0,"Intact",8,27.2,"2. NPK+",1,18,NA,51.7
"A",1,11,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"INTRODUCED",240.87
"A",1,11,2000,0,"Intact",8,27.2,"2. NPK+",1,19,NA,133
"A",1,11,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"INTRODUCED",176.233
"A",1,11,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"NATIVE",0.1
"A",1,11,2001,0,"Intact",8,27.2,"2. NPK+",1,20,NA,32.9
"A",1,11,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"INTRODUCED",208.79
"A",1,11,2002,0,"Intact",8,27.2,"2. NPK+",1,21,NA,0.467
"A",1,11,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"INTRODUCED",226.43
"A",1,11,2003,0,"Intact",8,27.2,"2. NPK+",1,22,NA,1.1
"A",1,11,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"INTRODUCED",315.2667
"A",1,11,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"NATIVE",0.2767
"A",1,11,2004,0,"Intact",8,27.2,"2. NPK+",1,23,NA,0.0667
"A",1,17,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"INTRODUCED",243.067
"A",1,17,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"NATIVE",5.32
"A",1,17,1982,0,"Intact",8,27.2,"2. NPK+",1,1,NA,0.237
"A",1,17,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"INTRODUCED",524.044
"A",1,17,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"NATIVE",1.967
"A",1,17,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"INTRODUCED",266.483
"A",1,17,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"NATIVE",1.533
"A",1,17,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"INTRODUCED",411.797
"A",1,17,1985,0,"Intact",8,27.2,"2. NPK+",1,4,NA,0.353
"A",1,17,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"INTRODUCED",253.5
"A",1,17,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"INTRODUCED",290.83
"A",1,17,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"INTRODUCED",14.633
"A",1,17,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"INTRODUCED",158.47
"A",1,17,1989,0,"Intact",8,27.2,"2. NPK+",1,8,NA,0.367
"A",1,17,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"INTRODUCED",172.377
"A",1,17,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"INTRODUCED",360.97
"A",1,17,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"INTRODUCED",390.5
"A",1,17,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"INTRODUCED",210.37
"A",1,17,1993,0,"Intact",8,27.2,"2. NPK+",1,12,NA,2.333
"A",1,17,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"INTRODUCED",76.467
"A",1,17,1994,0,"Intact",8,27.2,"2. NPK+",1,13,NA,8.833
"A",1,17,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"INTRODUCED",197.43
"A",1,17,1995,0,"Intact",8,27.2,"2. NPK+",1,14,NA,0.333
