"exp","field","plot","disk","yr.plowed","ntrt","nadd","other.add","year","dur","precip.mm","precip.gs","mass.above","rich","even","ens.pie"
1,"A",14,0,1968,6,9.5,1,1983,2,858.012,550.926,319.33,10,0.137963847504159,1.37963847504159
1,"A",14,0,1968,6,9.5,1,1984,3,876.046,527.304,477.228,10,0.105275109050555,1.05275109050555
1,"A",14,0,1968,6,9.5,1,1985,4,993.648,502.92,271.486,3,0.334948404845008,1.00484521453502
1,"A",14,0,1968,6,9.5,1,1986,5,858.52,512.318,165.2,1,1,1
1,"A",14,0,1968,6,9.5,1,1987,6,578.612,379.984,250.103,1,1,1
1,"A",14,0,1968,6,9.5,1,1988,7,591.312,291.084,36.3,1,1,1
1,"A",14,0,1968,6,9.5,1,1989,8,618.744,411.226,426.137,3,0.333908052105237,1.00172415631571
1,"A",14,0,1968,6,9.5,1,1990,9,1058.164,780.542,94.2,2,0.500212359302379,1.00042471860476
1,"A",14,0,1968,6,9.5,1,1991,10,1163.066,664.972,260.93,1,1,1
1,"A",14,0,1968,6,9.5,1,1992,11,717.55,425.958,210.597,2,0.505572094568979,1.01114418913796
1,"A",14,0,1968,6,9.5,1,1993,12,1026.16,706.374,209.535,5,0.297106443960135,1.48553221980068
1,"A",14,0,1968,6,9.5,1,1994,13,797.052,488.696,101.47,3,0.33998230052594,1.01994690157782
1,"A",14,0,1968,6,9.5,1,1996,15,959.104,483.362,207,3,0.391279716124239,1.17383914837272
1,"A",14,0,1968,6,9.5,1,1997,16,690.626,463.296,82.75,4,0.300050475184858,1.20020190073943
1,"A",14,0,1968,6,9.5,1,1999,18,734.822,561.086,424.427,3,0.424384055078748,1.27315216523624
1,"A",14,0,1968,6,9.5,1,2000,19,599.694,354.33,151.567,4,0.516886826897282,2.06754730758913
1,"A",14,0,1968,6,9.5,1,2002,21,905.51,600.71,290.26,3,0.416056875310339,1.24817062593102
1,"A",14,0,1968,6,9.5,1,2004,23,857.504,512.064,79.113,4,0.295985438966214,1.18394175586486
1,"A",15,0,1968,3,2,1,1982,1,879.348,373.888,124.052,13,0.327357506987354,4.2556475908356
1,"A",15,0,1968,3,2,1,1983,2,858.012,550.926,178.038,15,0.153877508592083,2.30816262888124
1,"A",15,0,1968,3,2,1,1984,3,876.046,527.304,196.685,17,0.0919468344111079,1.56309618498883
1,"A",15,0,1968,3,2,1,1985,4,993.648,502.92,220.896,9,0.114043499780051,1.02639149802046
1,"A",15,0,1968,3,2,1,1986,5,858.52,512.318,200.335,12,0.120384924786691,1.44461909744029
1,"A",15,0,1968,3,2,1,1987,6,578.612,379.984,228.643,7,0.267486565600943,1.8724059592066
1,"A",15,0,1968,3,2,1,1988,7,591.312,291.084,91.567,4,0.534675785117606,2.13870314047043
1,"A",15,0,1968,3,2,1,1989,8,618.744,411.226,211.936,7,0.206271345711133,1.44389941997793
