"field","exp","plot","year","disk","disk.trt","ntrt","nadd","trt","other.add","dur","functional.group","mass.above"
"A",1,11,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C4",0.493
"A",1,11,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"F",97.837
"A",1,11,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"C3",1261.2
"A",1,11,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"F",6.214
"A",1,11,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"C3",283.2
"A",1,11,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"F",0.033
"A",1,11,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"S",0.3
"A",1,11,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"C3",364.583
"A",1,11,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"C3",160.663
"A",1,11,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"F",0.013
"A",1,11,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"C3",199.33
"A",1,11,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"C3",10.333
"A",1,11,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"C3",244
"A",1,11,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"C3",70.543
"A",1,11,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"F",0.457
"A",1,11,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"C3",314.27
"A",1,11,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"F",0.033
"A",1,11,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"C3",224.67
"A",1,11,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"F",2.2
"A",1,11,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"C3",296.133
"A",1,11,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"F",0.011
"A",1,11,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"C3",151.27
"A",1,11,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"F",0.467
"A",1,11,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"C3",287.5
"A",1,11,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"F",0.003
"A",1,11,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"C3",244.03
"A",1,11,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"C3",6.3
"A",1,11,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"C3",346.037
"A",1,11,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"C3",257.47
"A",1,11,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"C3",373.87
"A",1,11,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"C3",195.9
"A",1,11,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"C4",0.1
"A",1,11,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"F",13.233
"A",1,11,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"C3",174.137
"A",1,11,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"C4",0.02
"A",1,11,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"F",35.1
"A",1,11,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"C3",227.53
"A",1,11,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"C3",314.2267
"A",1,11,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"F",1.3834
"A",1,17,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C3",70.114
"A",1,17,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C4",1.417
"A",1,17,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"F",176.96
"A",1,17,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"S",0.133
"A",1,17,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"C3",490.997
"A",1,17,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"F",35.014
"A",1,17,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"C3",265.57
"A",1,17,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"F",2.446
"A",1,17,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"C3",411.983
"A",1,17,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"F",0.167
"A",1,17,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"C3",253.5
"A",1,17,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"C3",290.83
"A",1,17,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"C3",14.633
"A",1,17,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"C3",158.837
"A",1,17,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"C3",172.37
"A",1,17,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"F",0.007
"A",1,17,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"C3",360.97
"A",1,17,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"C3",390.5
"A",1,17,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"C3",212.703
"A",1,17,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"C3",85.3
"A",1,17,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"C3",197.763
"A",1,17,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"C3",338.497
"A",1,17,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"F",62.533
"A",1,17,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"C3",23.1
"A",1,17,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"C3",197.83
"A",1,17,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"C3",384.067
"A",1,17,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"C3",179.067
"A",1,17,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"F",0.567
"A",1,17,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"C3",218.853
"A",1,17,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"F",27.207
"A",1,17,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"C3",136.063
"A",1,17,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"F",0.067
"A",1,17,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"C3",122.7
"A",1,17,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"C3",257.02
"A",1,17,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"F",0.0267
"A",1,18,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C3",63.5
"A",1,18,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"C4",2.333
"A",1,18,1982,0,"Intact",8,27.2,"2. NPK+",1,1,"F",130.636
"A",1,18,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"C3",611.433
"A",1,18,1983,0,"Intact",8,27.2,"2. NPK+",1,2,"F",37.7
"A",1,18,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"C3",362.27
"A",1,18,1984,0,"Intact",8,27.2,"2. NPK+",1,3,"F",1.13
"A",1,18,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"C3",457.27
"A",1,18,1985,0,"Intact",8,27.2,"2. NPK+",1,4,"F",0.007
"A",1,18,1986,0,"Intact",8,27.2,"2. NPK+",1,5,"C3",242.07
"A",1,18,1987,0,"Intact",8,27.2,"2. NPK+",1,6,"C3",184.9
"A",1,18,1988,0,"Intact",8,27.2,"2. NPK+",1,7,"C3",18.267
"A",1,18,1989,0,"Intact",8,27.2,"2. NPK+",1,8,"C3",331.1
"A",1,18,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"C3",117.77
"A",1,18,1990,0,"Intact",8,27.2,"2. NPK+",1,9,"F",1.293
"A",1,18,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"C3",428.07
"A",1,18,1991,0,"Intact",8,27.2,"2. NPK+",1,10,"C4",0.001
"A",1,18,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"C3",111.9
"A",1,18,1992,0,"Intact",8,27.2,"2. NPK+",1,11,"F",41.534
"A",1,18,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"C3",288.433
"A",1,18,1993,0,"Intact",8,27.2,"2. NPK+",1,12,"F",31.166
"A",1,18,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"C3",172.697
"A",1,18,1994,0,"Intact",8,27.2,"2. NPK+",1,13,"F",0.014
"A",1,18,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"C3",316.637
"A",1,18,1995,0,"Intact",8,27.2,"2. NPK+",1,14,"F",0.003
"A",1,18,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"C3",289.533
"A",1,18,1996,0,"Intact",8,27.2,"2. NPK+",1,15,"C4",0.287
"A",1,18,1997,0,"Intact",8,27.2,"2. NPK+",1,16,"C3",4.367
"A",1,18,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"C3",239.97
"A",1,18,1998,0,"Intact",8,27.2,"2. NPK+",1,17,"F",25.9
"A",1,18,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"C3",636.5
"A",1,18,1999,0,"Intact",8,27.2,"2. NPK+",1,18,"F",80.9
"A",1,18,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"C3",189.07
"A",1,18,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"C4",0.087
"A",1,18,2000,0,"Intact",8,27.2,"2. NPK+",1,19,"F",16.827
"A",1,18,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"C3",213.887
"A",1,18,2001,0,"Intact",8,27.2,"2. NPK+",1,20,"F",15.26
"A",1,18,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"C3",198.403
"A",1,18,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"C4",0.4
"A",1,18,2002,0,"Intact",8,27.2,"2. NPK+",1,21,"F",43.4
"A",1,18,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"C3",91.467
"A",1,18,2003,0,"Intact",8,27.2,"2. NPK+",1,22,"F",9.667
"A",1,18,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"C3",193.1
"A",1,18,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"C4",0.3667
"A",1,18,2004,0,"Intact",8,27.2,"2. NPK+",1,23,"F",47.8671
"A",1,20,1982,0,"Intact",9,0,"1. Control",0,1,"C3",49.367
"A",1,20,1982,0,"Intact",9,0,"1. Control",0,1,"F",34.67
"A",1,20,1982,0,"Intact",9,0,"1. Control",0,1,"L",0.233
"A",1,20,1983,0,"Intact",9,0,"1. Control",0,2,"C3",48.7
"A",1,20,1983,0,"Intact",9,0,"1. Control",0,2,"C4",0.003
"A",1,20,1983,0,"Intact",9,0,"1. Control",0,2,"F",49.114
"A",1,20,1984,0,"Intact",9,0,"1. Control",0,3,"C3",58.9
"A",1,20,1984,0,"Intact",9,0,"1. Control",0,3,"C4",0.163
"A",1,20,1984,0,"Intact",9,0,"1. Control",0,3,"F",42.814
