"field","exp","plot","year","disk","disk.trt","ntrt","trt","nadd","other.add","dur","duration","mass.above"
"A",1,11,1992,0,"Intact",8,"2. NPK+",27.2,1,11,"ANNUAL",2.2
"A",1,11,1992,0,"Intact",8,"2. NPK+",27.2,1,11,"PERENNIAL",224.67
"A",1,11,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"BIENNIAL",0.011
"A",1,11,1993,0,"Intact",8,"2. NPK+",27.2,1,12,"PERENNIAL",296.133
"A",1,11,1994,0,"Intact",8,"2. NPK+",27.2,1,13,"BIENNIAL",0.3
"A",1,11,1994,0,"Intact",8,"2. NPK+",27.2,1,13,"PERENNIAL",151.437
"A",1,11,1995,0,"Intact",8,"2. NPK+",27.2,1,14,"PERENNIAL",287.5
"A",1,11,1995,0,"Intact",8,"2. NPK+",27.2,1,14,NA,0.003
"A",1,11,1996,0,"Intact",8,"2. NPK+",27.2,1,15,"PERENNIAL",244.03
"A",1,11,1997,0,"Intact",8,"2. NPK+",27.2,1,16,"PERENNIAL",6.3
"A",1,11,1998,0,"Intact",8,"2. NPK+",27.2,1,17,"PERENNIAL",346.037
"A",1,11,1999,0,"Intact",8,"2. NPK+",27.2,1,18,"PERENNIAL",257.47
"A",1,11,2000,0,"Intact",8,"2. NPK+",27.2,1,19,"PERENNIAL",373.87
"A",1,11,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"ANNUAL",10.2
"A",1,11,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"BIENNIAL",3.033
"A",1,11,2001,0,"Intact",8,"2. NPK+",27.2,1,20,"PERENNIAL",196
"A",1,11,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"ANNUAL",0.02
"A",1,11,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"BIENNIAL",35.1
"A",1,11,2002,0,"Intact",8,"2. NPK+",27.2,1,21,"PERENNIAL",174.137
"A",1,11,2003,0,"Intact",8,"2. NPK+",27.2,1,22,"PERENNIAL",227.53
"A",1,11,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"ANNUAL",1.3834
"A",1,11,2004,0,"Intact",8,"2. NPK+",27.2,1,23,"PERENNIAL",314.2267
"A",1,17,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"ANNUAL",16.893
"A",1,17,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"BIENNIAL",158.167
"A",1,17,1982,0,"Intact",8,"2. NPK+",27.2,1,1,"PERENNIAL",73.564
"A",1,17,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"ANNUAL",1.6
"A",1,17,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"BIENNIAL",32.614
"A",1,17,1983,0,"Intact",8,"2. NPK+",27.2,1,2,"PERENNIAL",491.797
